timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-11 23:00:00,108443.38,108691.87,108324.0,108645.12,335.90773,1749686399999,36464425.39430570,54815,150.00899000,16284834.74711350,0
2025-06-12 00:00:00,108645.13,108813.55,108326.55,108705.99,394.62489,1749689999999,42863448.63730730,94866,179.74442000,19524581.48388730,0
2025-06-12 01:00:00,108706.0,108706.0,108258.49,108515.99,531.45564,1749693599999,57616419.34794640,111266,292.09373000,31656698.55881490,0
2025-06-12 02:00:00,108515.99,108759.0,108390.34,108400.52,897.03762,1749697199999,97355977.62606970,115718,615.26275000,66769591.60134100,0
2025-06-12 03:00:00,108400.52,108448.03,107730.0,107860.05,1933.71635,1749700799999,208870903.76066440,176192,595.09663000,64327874.32766170,0
2025-06-12 04:00:00,107860.04,107917.41,107320.0,107765.12,841.46439,1749704399999,90565498.07541800,111109,358.55905000,38584643.96393700,0
2025-06-12 05:00:00,107765.13,107922.43,107593.67,107746.91,355.94523,1749707999999,38359050.21683420,64711,163.38447000,17607115.52627620,0
2025-06-12 06:00:00,107746.91,107993.58,107640.33,107909.02,438.0718,1749711599999,47235233.93616450,54775,243.18571000,26219027.32031910,0
2025-06-12 07:00:00,107909.02,107961.01,107438.65,107633.53,702.19948,1749715199999,75595957.78972320,80453,382.02091000,41122849.59646990,0
2025-06-12 08:00:00,107633.53,107835.83,107440.13,107731.67,406.91931,1749718799999,43810126.00145500,91272,207.47789000,22342566.66848880,0
2025-06-12 09:00:00,107731.67,107771.55,107488.95,107507.35,309.4496,1749722399999,33303591.73715520,68833,145.69434000,15680628.32801070,0
2025-06-12 10:00:00,107507.35,107518.85,107200.0,107323.16,521.81989,1749725999999,55997372.46086500,110969,271.32435000,29116301.50227780,0
2025-06-12 11:00:00,107323.16,107349.31,106874.47,106900.95,628.23956,1749729599999,67275271.75277340,114494,237.40658000,25427890.49118830,0
2025-06-12 12:00:00,106900.95,107431.82,106870.0,106988.54,763.31238,1749733199999,81754499.16801780,122055,386.46406000,41399194.84630720,0
2025-06-12 13:00:00,106988.55,107198.75,106600.0,107070.8,920.69916,1749736799999,98462928.84787250,140294,463.30944000,49559247.55085320,0
2025-06-12 14:00:00,107070.8,107721.17,107070.8,107612.69,862.27021,1749740399999,92662749.42666560,162788,459.94476000,49426037.44697830,0
2025-06-12 15:00:00,107612.7,107822.5,106890.88,107020.95,655.00365,1749743999999,70300941.84519750,209936,275.23873000,29545952.08498690,0
2025-06-12 16:00:00,107020.96,107858.32,106985.38,107744.71,562.58066,1749747599999,60494966.09060570,190673,306.41352000,32948279.62246770,0
2025-06-12 17:00:00,107744.7,108450.16,107702.42,108287.4,769.24972,1749751199999,83170860.02327550,169118,469.17838000,50718882.34341260,0
2025-06-12 18:00:00,108287.4,108419.21,107229.47,107561.35,522.24144,1749754799999,56274911.92857490,191919,246.68111000,26584992.75464730,0
2025-06-12 19:00:00,107561.36,107879.92,106680.0,106788.8,704.93602,1749758399999,75644668.09490890,222014,271.11446000,29102331.03787260,0
2025-06-12 20:00:00,106789.8,106960.77,105772.73,105973.62,2315.98411,1749761999999,246075651.82955020,376799,865.46201000,91987633.02967250,0
2025-06-12 21:00:00,105973.61,106430.39,105860.9,105894.31,679.88503,1749765599999,72158723.35317680,225145,338.02537000,35871209.71970750,0
2025-06-12 22:00:00,105894.32,106225.4,105726.65,105890.7,576.44703,1749769199999,61052298.37445280,191846,281.77194000,29843481.94096910,0
